C9E1,STX,40,25,00,25,FB
C9E3,NOP,40,25,00,25,FB
C9E4,CMP,40,25,00,A5,FB
C9E6,BEQ,40,25,00,A5,FB
C9E8,BPL,40,25,00,A5,FB
C9EA,BPL,40,25,00,A5,FB
C9EC,JMP,40,25,00,A5,FB
C9F3,NOP,40,25,00,A5,FB
C9F4,LDA,80,25,00,A5,FB
C9F6,CMP,80,25,00,A5,FB
C9F8,BEQ,80,25,00,A5,FB
C9FA,BPL,80,25,00,A5,FB
C9FC,BCC,80,25,00,A5,FB
C9FE,JMP,80,25,00,A5,FB
CA05,NOP,80,25,00,A5,FB
CA06,CMP,80,25,00,A7,FB
CA08,BNE,80,25,00,A7,FB
CA0A,BMI,80,25,00,A7,FB
CA11,LDX,80,28,00,25,FB
CA13,STX,80,28,00,25,FB
CA15,NOP,80,28,00,25,FB
CA16,CMP,80,28,00,A5,FB
CA18,BCS,80,28,00,A5,FB
CA21,LDX,80,29,00,25,FB
CA23,STX,80,29,00,25,FB
CA25,NOP,80,29,00,25,FB
CA26,CMP,80,29,00,25,FB
CA28,BCC,80,29,00,25,FB
CA2A,BEQ,80,29,00,25,FB
CA2C,BMI,80,29,00,25,FB
CA2E,JMP,80,29,00,25,FB
CA35,NOP,80,29,00,25,FB
CA36,BIT,80,29,00,E5,FB
CA38,LDY,80,29,40,65,FB
CA3A,CPY,80,29,40,E7,FB
CA3C,BNE,80,29,40,E7,FB
CA3E,BMI,80,29,40,E7,FB
CA47,LDX,80,2B,40,65,FB
CA49,STX,80,2B,40,65,FB
CA4B,NOP,80,2B,40,65,FB
CA4C,CLV,80,2B,40,25,FB
CA4D,CPY,80,2B,40,25,FB
CA4F,BEQ,80,2B,40,25,FB
CA51,BMI,80,2B,40,25,FB
CA53,BCC,80,2B,40,25,FB
CA55,BVS,80,2B,40,25,FB
CA57,JMP,80,2B,40,25,FB
CA5E,NOP,80,2B,40,25,FB
CA5F,CPY,80,2B,40,A5,FB
CA61,BEQ,80,2B,40,A5,FB
CA63,BPL,80,2B,40,A5,FB
CA65,BPL,80,2B,40,A5,FB
CA67,JMP,80,2B,40,A5,FB
CA6E,NOP,80,2B,40,A5,FB
CA6F,LDY,80,2B,80,A5,FB
CA71,CPY,80,2B,80,A5,FB
CA73,BEQ,80,2B,80,A5,FB
CA75,BPL,80,2B,80,A5,FB
CA77,BCC,80,2B,80,A5,FB
CA79,JMP,80,2B,80,A5,FB
CA80,NOP,80,2B,80,A5,FB
CA81,CPY,80,2B,80,A7,FB
CA83,BNE,80,2B,80,A7,FB
CA85,BMI,80,2B,80,A7,FB
CA8C,LDX,80,2F,80,25,FB
CA8E,STX,80,2F,80,25,FB
CA90,NOP,80,2F,80,25,FB
CA91,CPY,80,2F,80,25,FB
CA93,BCS,80,2F,80,25,FB
CA9C,LDX,80,30,80,25,FB
CA9E,STX,80,30,80,25,FB
CAA0,NOP,80,30,80,25,FB
CAA1,CPY,80,30,80,A5,FB
CAA3,BCC,80,30,80,A5,FB
CAA5,BEQ,80,30,80,A5,FB
CAA7,BMI,80,30,80,A5,FB
CAAC,LDX,80,31,80,25,FB
CAAE,STX,80,31,80,25,FB
CAB0,NOP,80,31,80,25,FB
CAB1,BIT,80,31,80,E5,FB
CAB3,LDX,80,40,80,65,FB
CAB5,CPX,80,40,80,E7,FB
CAB7,BNE,80,40,80,E7,FB
CAB9,BMI,80,40,80,E7,FB
CAC2,LDA,32,40,80,65,FB
CAC4,STA,32,40,80,65,FB
CAC6,NOP,32,40,80,65,FB
CAC7,CLV,32,40,80,25,FB
CAC8,CPX,32,40,80,25,FB
CACA,BEQ,32,40,80,25,FB
CACC,BMI,32,40,80,25,FB
CACE,BCC,32,40,80,25,FB
CAD0,BVS,32,40,80,25,FB
CAD2,JMP,32,40,80,25,FB
CAD9,NOP,32,40,80,25,FB
CADA,CPX,32,40,80,A5,FB
CADC,BEQ,32,40,80,A5,FB
CADE,BPL,32,40,80,A5,FB
CAE0,BPL,32,40,80,A5,FB
CAE2,JMP,32,40,80,A5,FB
CAE9,NOP,32,40,80,A5,FB
CAEA,LDX,32,80,80,A5,FB
CAEC,CPX,32,80,80,A5,FB
CAEE,BEQ,32,80,80,A5,FB
CAF0,BPL,32,80,80,A5,FB
CAF2,BCC,32,80,80,A5,FB
CAF4,JMP,32,80,80,A5,FB
CAFB,NOP,32,80,80,A5,FB
CAFC,CPX,32,80,80,A7,FB
CAFE,BNE,32,80,80,A7,FB
CB00,BMI,32,80,80,A7,FB
CB07,LDA,36,80,80,25,FB
CB09,STA,36,80,80,25,FB
CB0B,NOP,36,80,80,25,FB
CB0C,CPX,36,80,80,25,FB
CB0E,BCS,36,80,80,25,FB
CB17,LDA,37,80,80,25,FB
CB19,STA,37,80,80,25,FB
CB1B,NOP,37,80,80,25,FB
CB1C,CPX,37,80,80,A5,FB
CB1E,BCC,37,80,80,A5,FB
CB20,BEQ,37,80,80,A5,FB
CB22,BMI,37,80,80,A5,FB
CB27,LDA,38,80,80,25,FB
CB29,STA,38,80,80,25,FB
CB2B,NOP,38,80,80,25,FB
CB2C,SEC,38,80,80,25,FB
CB2D,CLV,38,80,80,25,FB
CB2E,LDX,38,9F,80,A5,FB
CB30,BEQ,38,9F,80,A5,FB
CB32,BPL,38,9F,80,A5,FB
CB34,BVS,38,9F,80,A5,FB
CB36,BCC,38,9F,80,A5,FB
CB38,JMP,38,9F,80,A5,FB
CB3F,NOP,38,9F,80,A5,FB
CB40,CLC,38,9F,80,A4,FB
CB41,BIT,38,9F,80,E4,FB
CB43,LDX,38,00,80,66,FB
CB45,BNE,38,00,80,66,FB
CB47,BMI,38,00,80,66,FB
CB49,BVC,38,00,80,66,FB
CB4B,BCS,38,00,80,66,FB
CB4D,JMP,38,00,80,66,FB
CB54,NOP,38,00,80,66,FB
CB55,SEC,38,00,80,67,FB
CB56,CLV,38,00,80,27,FB
CB57,LDY,38,00,9F,A5,FB
CB59,BEQ,38,00,9F,A5,FB
CB5B,BPL,38,00,9F,A5,FB
CB5D,BVS,38,00,9F,A5,FB
CB5F,BCC,38,00,9F,A5,FB
CB61,JMP,38,00,9F,A5,FB
CB68,NOP,38,00,9F,A5,FB
CB69,CLC,38,00,9F,A4,FB
CB6A,BIT,38,00,9F,E4,FB
CB6C,LDY,38,00,00,66,FB
CB6E,BNE,38,00,00,66,FB
CB70,BMI,38,00,00,66,FB
CB72,BVC,38,00,00,66,FB
CB74,BCS,38,00,00,66,FB
CB76,JMP,38,00,00,66,FB
CB7D,NOP,38,00,00,66,FB
CB7E,LDA,55,00,00,64,FB
CB80,LDX,55,AA,00,E4,FB
CB82,LDY,55,AA,33,64,FB
CB84,CMP,55,AA,33,67,FB
CB86,BNE,55,AA,33,67,FB
CB88,CPX,55,AA,33,67,FB
CB8A,BNE,55,AA,33,67,FB
CB8C,CPY,55,AA,33,67,FB
CB8E,BNE,55,AA,33,67,FB
CB90,CMP,55,AA,33,67,FB
CB92,BNE,55,AA,33,67,FB
CB94,CPX,55,AA,33,67,FB
CB96,BNE,55,AA,33,67,FB
CB98,CPY,55,AA,33,67,FB
CB9A,BNE,55,AA,33,67,FB
CB9C,CMP,55,AA,33,E7,FB
CB9E,BEQ,55,AA,33,E7,FB
CBAB,LDX,55,3D,33,65,FB
CBAD,STX,55,3D,33,65,FB
CBAF,LDY,55,3D,71,65,FB
CBB1,JSR,55,3D,71,65,F9
F931,BIT,55,3D,71,E5,F9
F933,LDA,40,3D,71,65,F9
F935,SEC,40,3D,71,65,F9
F936,RTS,40,3D,71,65,FB
CBB4,SBC,00,3D,71,26,FB
CBB6,JSR,00,3D,71,26,F9
