C000   4C   F5   C5    JMP    A:00    X:00    Y:00    P:24    SP:FD       BaseAddr:C5F5    IndirAddr:0000    Absolute
C7EB   00   C9   6F    CMP    A:6F    X:00    Y:00    P:6F    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C7ED   00   F0   04    BEQ    A:6F    X:00    Y:00    P:6F    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C7F3   00   EA   A9    NOP    A:6F    X:00    Y:00    P:6F    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C7F4   00   A9   40    LDA    A:40    X:00    Y:00    P:6D    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C7F6   00   85   01    STA    A:40    X:00    Y:00    P:6D    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
C7F8   24   01   40    BIT    A:40    X:00    Y:00    P:6D    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
C7FA   00   D8   A9    CLD    A:40    X:00    Y:00    P:65    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C7FB   00   A9   10    LDA    A:10    X:00    Y:00    P:65    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C7FD   00   18   08    CLC    A:10    X:00    Y:00    P:64    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C7FE   00   08   68    PHP    A:10    X:00    Y:00    P:64    SP:FA       BaseAddr:0000    IndirAddr:0000    Implied
C7FF   29   00   74    PLA    A:74    X:00    Y:00    P:64    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C800   00   29   EF    AND    A:64    X:00    Y:00    P:64    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C802   00   C9   64    CMP    A:64    X:00    Y:00    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C804   00   F0   04    BEQ    A:64    X:00    Y:00    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C80A   00   EA   A9    NOP    A:64    X:00    Y:00    P:67    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C80B   00   A9   80    LDA    A:80    X:00    Y:00    P:E5    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C80D   00   85   01    STA    A:80    X:00    Y:00    P:E5    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
C80F   24   01   80    BIT    A:80    X:00    Y:00    P:A5    SP:FB       BaseAddr:0001    IndirAddr:0000    Zero_page
C811   00   F8   A9    SED    A:80    X:00    Y:00    P:AD    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C812   00   A9   00    LDA    A:00    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C814   00   38   08    SEC    A:00    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C815   00   08   68    PHP    A:00    X:00    Y:00    P:2F    SP:FA       BaseAddr:0000    IndirAddr:0000    Implied
C816   29   00   3F    PLA    A:3F    X:00    Y:00    P:2D    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C817   00   29   EF    AND    A:2F    X:00    Y:00    P:2D    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C819   00   C9   2F    CMP    A:2F    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C81B   00   F0   04    BEQ    A:2F    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C821   00   EA   A9    NOP    A:2F    X:00    Y:00    P:2F    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C822   00   A9   FF    LDA    A:FF    X:00    Y:00    P:AD    SP:FB       BaseAddr:0000    IndirAddr:0000    Immediate
C824   00   48   28    PHA    A:FF    X:00    Y:00    P:AD    SP:FA       BaseAddr:0000    IndirAddr:0000    Implied
C825   D0   00   FF    PLP    A:FF    X:00    Y:00    P:EF    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
C826   00   D0   09    BNE    A:FF    X:00    Y:00    P:EF    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C828   00   10   07    BPL    A:FF    X:00    Y:00    P:EF    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C82A   00   50   05    BVC    A:FF    X:00    Y:00    P:EF    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C82C   00   90   03    BCC    A:FF    X:00    Y:00    P:EF    SP:FB       BaseAddr:0000    IndirAddr:0000    Relative
C82E   4C   35   C8    JMP    A:FF    X:00    Y:00    P:EF    SP:FB       BaseAddr:C835    IndirAddr:0000    Absolute
C835   00   EA   A9    NOP    A:FF    X:00    Y:00    P:EF    SP:FB       BaseAddr:0000    IndirAddr:0000    Implied
